Genes	log2FoldChange
NMNAT2	-3.712795883
ZIC1	2.699449922
CYTL1	3.343484503
DGCR9	-3.046247341
TACR2	-2.207711161
KNTC1	2.087881665
FCGR2A	2.755844512
SOCS1	3.232020899
RPSAP58	2.037150182
FSTL5	-4.492679145
JAG1	2.419192459
MAML2	2.017844814
ETV4	3.636340507
DOK6	-3.993385101
AK5	-4.431810223
EPB41L3	-2.849849855
ABCB4	2.49787683
CD163	4.011593707
CALN1	-4.289913939
RTN2	-2.206500298
SLC7A4	-4.488058922
GOLGA6L1	-6.029720799
DNALI1	2.392141629
MFSD2B	-2.265205299
HOMER1	-2.090613991
DBI	2.221093183
PRKCZ	-3.434609932
SYT1	-4.646263505
KIAA1239	-5.287552825
MXD3	2.078293479
SV2B	-5.002736357
SCNN1B	5.57664868
GALNT5	5.331233344
SNAP25	-4.272772114
C21orf7	3.189146861
SULT4A1	-4.836960769
NPHS1	-4.957220595
PLSCR1	2.279644744
FOXJ1	4.156716897
LYZ	3.618041333
LOC84740	-2.282546321
VNN1	3.545386811
HS6ST3	-4.316801095
PVRL1	-2.63986892
MRC2	2.605579801
CPLX3	-4.487558241
RUNDC3A	-3.367210503
H19	5.582601299
C1orf95	-3.413514783
CDKN3	2.475686833
CDC6	2.249451057
DRD1	-4.70070832
TUBB6	2.543729585
TMOD4	3.982282763
VSIG4	3.281068175
ELTD1	2.047691983
TMEM63A	-2.377532141
ETV1	2.274238908
GRM1	-4.180443531
SLC40A1	2.649031872
ZNF204P	-2.560279077
KIAA1244	-3.421245626
KIAA1598	-2.66983751
ADAD2	-4.271172185
PNMA6A	-3.013524827
S100A16	2.407946195
SRGAP3	-2.050867754
PP14571	-2.913267407
GABRD	-3.966589328
GDF15	3.7661025
CHN2	-2.188132352
CLEC12A	4.596123313
HLA-DPA1	2.679930221
CDKL2	-3.918781531
NEFH	-3.655076427
LAMP3	2.948323201
GPR83	-4.52871579
TMSB15A	5.039185173
KIAA1644	-4.535129617
SAA1	6.150331564
CAMK2B	-3.40390002
ZBTB42	2.60276619
NALCN	-2.994104843
PACSIN1	-4.95297006
CSRNP3	-2.901650905
SST	-4.898634131
TMEM195	3.809860649
GDA	-4.716330002
IQSEC3	-4.335919056
C1orf162	2.501640251
GOLGA6L6	-5.888052962
MFRP	2.289219922
SLC7A14	-4.045499944
CXCL10	4.254141607
HOXA6	6.259466727
RIMS1	-4.033708234
TBR1	-4.708200508
TRPM6	-3.291538348
FSTL4	-4.477637582
HPCAL4	-4.095272072
TUB	-2.197598241
LOC647946	4.142270774
KL	-2.576477736
CNGA3	3.780949944
ISLR2	-4.278589393
NPC2	2.269643195
LOC650623	-2.53461566
PEX5L	-4.105268928
PLCL1	-2.827852837
IRX3	4.22971526
CABP1	-4.16028064
VAMP8	2.815697819
F2RL3	3.690804347
CYP1A1	-3.883036013
LRRC7	-4.366028609
NPTX1	-4.338220159
HPRT1	-2.0005615
IFI16	2.207453743
RGS14	-2.445909086
CXorf64	4.904242421
FAM72A	2.542247971
APOC1	2.971926094
MMP25	2.808253917
C11orf87	-4.203715703
PDE6G	3.051887145
CES8	-3.475811813
STRC	-3.0379893
LRFN2	-4.206295157
DLGAP1	-3.159138294
FAIM3	2.58772272
JAKMIP1	-3.935281776
TNFRSF10C	2.88970053
STYK1	-4.995597077
PEG3	-2.959606741
RGS4	-4.13387634
KCNJ12	-4.064468025
CPLX1	-3.68397563
RASAL1	-5.039556181
LFNG	2.708637518
LRRN4CL	3.285962245
GCNT4	-2.719308675
SCD	-2.194922452
SLC37A2	2.571705767
CA12	3.526020235
CNNM1	-4.448038069
CD63	2.018572719
GAS7	-2.523715301
STK33	2.235975091
ADRB3	-3.782854462
PTPRR	-4.157366129
MAS1	-5.194137519
PRC1	2.095395471
S100A6	2.628982099
RNF122	2.328874919
ACVR1C	-3.970986731
RNASE4	2.232376072
SPRY1	2.591749752
CHRM1	-4.637917669
RASD2	-2.685238359
C14orf64	2.331678348
CACNA1C	-3.133928137
TMEM191A	-3.059290426
CXCL9	3.818632563
A2BP1	-4.67682658
FAM190A	-3.915402185
SYTL4	2.326567708
KCNJ1	-3.053893101
CLEC18B	3.07856606
TRPC5	-4.450996368
CACNA1E	-3.720315255
CYP26B1	-3.613142673
FBXO43	3.131199592
CELSR1	3.832681098
ELOVL4	-2.156582592
GREM2	-4.068214021
CFI	3.114319901
CARD16	3.062502263
KCTD16	-3.566332183
TRHDE	-5.176286839
EGFR	4.657573
KCNK4	-3.480529332
SP140L	2.371600144
TRPV6	-3.887227119
GLP2R	-5.900325289
OR2W3	-3.276070027
PLA2G2A	5.708683564
MNS1	2.332321713
TMEM132D	-5.112169119
DNAJC12	-2.18141382
KIAA1324	-2.971683756
HSPG2	2.613453533
CNTNAP2	-4.080543458
FZD7	2.675605759
CACNA1B	-5.023356319
DMRTC1B	-2.482770308
PTGER3	-4.606028506
EPB41L4B	-3.600111711
SVOP	-4.931242488
FAM83D	2.704850418
SEMA6B	-2.784590791
HSPA2	-2.809896035
CCDC18	2.108723484
PRSS3	-3.57829628
VAMP1	-2.257089457
VNN2	3.289050002
ANKRD24	-2.933379381
C9orf4	-4.379906243
SLC11A1	2.773673871
HPCA	-3.806141707
LOC222699	2.589191401
NPM2	-4.12027698
CHRM4	-3.023938528
CHST1	-2.635331077
NID2	2.72477331
ECM2	2.663238879
SLFN12	2.512065616
FLJ32063	-3.560086462
C15orf42	2.574468434
EPHB4	2.382704367
FAM72D	2.260059731
SLC25A27	-3.059330418
LPPR4	-2.538486975
DIAPH3	2.284593349
SQRDL	2.083733867
KBTBD11	-2.215561146
TNFRSF10B	2.00267708
SYT12	-2.810192376
PLK4	2.069288841
EFNA3	-2.248426876
TMEM37	2.569195882
OR51E1	3.893387985
C10orf82	-3.860999811
CHI3L2	4.226030262
CDH8	-4.061124961
FCGR2C	3.335955064
CDT1	2.348305657
RAB26	-2.631806901
HRNBP3	-4.689568065
PCDHGA3	-3.330308722
S100A3	3.16753704
SLCO4C1	-3.484308854
CAMKV	-4.198079343
ITGB3	2.998222305
MCF2L2	-3.547648516
NEDD4L	-2.029764637
PCDHGC5	-2.899738821
RUNDC3B	-2.257034294
SOX4	2.99431524
MGC12982	3.218855804
KCNA1	-3.914971057
C9orf100	2.423234134
HTR2C	-5.033852033
OLFM3	-4.395746512
RHOV	-3.155953657
HLA-B	2.467252809
MUC1	2.523368815
TGM5	5.102622556
KCNB1	-3.605311149
HAPLN3	2.21875157
RTN1	-3.055584181
SCN1B	-2.191390902
S1PR5	-3.327944294
C22orf24	-2.657175426
KLHL11	-2.077894394
STXBP6	-3.430469898
SYN2	-4.814510751
TMEM106C	2.041855045
SH3BP5	-2.159862635
FAM107B	-2.120042004
CTSC	2.557224314
UNC5A	-3.700546549
NTNG2	-2.746800009
SLC35F3	-4.038165349
EFEMP1	3.147748823
SLC1A5	2.219373082
LAMA4	2.320190436
RDH10	2.904825177
CD68	2.295670286
ABCA1	2.009616993
XRCC2	2.412082388
RGS7	-3.647867825
FAM189A1	-2.849306704
PPP3R2	-3.364582338
SUGT1L1	-2.106673681
NELL2	-2.913680268
LOC339524	-2.156243198
PTPRZ1	2.272356926
SP7	-3.243753172
RTN4RL2	-3.129800686
GJC2	-3.197936187
NAV3	-2.900847523
SLC22A15	-2.640534606
SH2D4A	2.444887538
CORO6	-3.209004692
C1R	2.849518492
KYNU	2.681746116
CD1D	3.117050473
PPFIA4	-2.724078514
BAI3	-2.184333122
CHGB	-3.610802324
HOXA13	5.361700036
NEGR1	-3.708498324
BEGAIN	-2.854850033
CACNB2	-2.763983785
CIT	-2.194694472
TREM2	2.498974712
WSCD2	-4.67557362
LOC338651	-3.920494305
GATA4	5.730621867
MXRA5	3.400797696
ESYT3	-3.189727783
NEUROD6	-5.408997232
FBXO2	-3.175989577
TTBK1	-2.099225119
CUX2	-4.471885258
PDE4A	-2.025855308
ZNF300	2.249546647
ALOX5AP	2.653330961
PPP1R16B	-3.541752521
SP100	2.107275298
ADCY5	-3.233071101
DIRAS1	-2.052637365
KCNK1	-3.732278157
SLC13A4	-3.635492401
GRIN1	-5.196887501
NCF2	2.184642603
PPFIA2	-3.815754979
PDLIM3	2.354760042
DNAH17	-2.846633786
C2orf89	-3.285484119
CD180	2.520068949
SEC14L5	-3.974838248
ANKS1B	-3.297246311
SLIT3	-3.575736521
HLA-A	2.219186498
RASGEF1A	-3.097342426
FBXO39	3.904076792
HS3ST2	-4.014959551
FBLIM1	3.034267508
KIAA1804	-2.675905429
CD22	-3.897351342
SNCB	-4.125010916
CCKBR	-4.600780749
NGEF	-3.694904766
C13orf36	-4.766398609
ERP27	3.720540205
RHO	-3.639381513
CELF4	-4.294831941
GNG3	-3.75372255
STXBP5L	-3.577634856
LOC100216001	4.182654673
MS4A7	2.575600454
LOC100132354	-3.538341509
EFEMP2	2.048250287
SLC24A2	-3.700903408
PNPLA5	-4.561520002
SNCAIP	2.384197822
LRRC25	2.388431696
NEXN	2.385792507
AJAP1	-3.321067996
ADRB1	-2.539867612
GABRA4	-4.455959868
IGFBP4	2.314611081
CDCA5	2.058169704
RS1	-3.744854149
TYMS	2.203330398
ZNF536	-3.732173808
RBP4	-3.78885594
MYRIP	-2.815279701
ATRNL1	-3.32190624
FAM115C	2.663909483
RND1	-2.209104898
HOXB6	5.293588793
EPHX4	-2.26048296
CHRNB2	-3.151349064
HCN1	-4.812442992
RIMKLA	-2.191725762
KIFC2	-2.124486327
PTPRD	-2.349318851
ATP1A3	-3.782151999
ZIM2	-3.263188395
NRSN1	-3.156051315
TMSB15B	2.339146491
C5orf40	-3.935214212
IGF2BP2	3.715743059
DBNDD2	-2.377679892
GALNT6	-2.569181843
PALM	-2.250477385
EEF1A2	-3.020031267
HLA-DQA2	3.999613237
PTX3	3.792696695
ADAMTS12	4.030818783
BLM	2.098576085
UCP2	2.024598472
PLBD1	2.575228954
DGKH	-2.612932492
CPLX2	-4.456974137
ALOXE3	-3.743859985
HECW2	-2.118371825
SNAP91	-4.207795161
ZNF311	2.071787054
SLC1A2	-2.818190046
BASP1	-2.870976745
IDO1	5.227525862
LOC151009	-4.585358487
WNT5A	2.094425278
COL1A1	4.1678469
GABRA5	-4.874305854
GRM5	-4.028026361
SHANK2	-3.766547845
BEST3	2.923606424
PAR4	-5.52457218
SLC6A7	-5.088195004
ZCCHC12	-3.379551919
TCEAL6	-3.492617284
PLVAP	2.576772519
EMX1	-4.324946411
VAX2	2.779095072
SLAMF8	2.844460803
WWTR1	2.486321494
ARHGAP11B	2.894380428
CD300A	2.24374126
CNTN2	-3.540301994
OR2T8	-3.623031006
SYT3	-2.709303101
PTPN5	-4.150407207
CDH9	-4.907940717
KCNS2	-4.352899724
VIP	-4.293512949
VSTM2L	-3.537377967
FAM123A	-2.577875183
HAR1A	-3.59569143
KIRREL3	-3.367487489
EMILIN2	2.574837273
THEM5	-3.203696347
C17orf96	-2.189291955
CD74	2.302889574
ARL11	2.420713663
C9orf45	-2.427841761
SIGLEC9	2.391342471
CNGB1	-5.345912818
OCA2	-4.430070443
AQP3	-2.828769492
SSTR2	-3.084345354
IMP5	-3.791169982
SLC6A1	-2.449586196
LOC285954	-4.010238655
SH3GL3	-3.986762603
TPRG1	2.549244161
F2RL2	3.493479092
HIST1H2BH	5.761763894
KCNC2	-4.619617079
HOXA11AS	5.292875669
CACNA2D3	-3.832105842
PI3	5.506102574
MYT1L	-4.62225329
RFPL2	-3.455323309
CTSS	2.431757426
OLFM1	-3.022255882
SPATA17	3.178460773
LOC100189589	-4.163688859
CARNS1	-4.180309884
FABP3	-2.53915397
C10orf55	3.336806185
AEBP1	2.751480804
KCNJ3	-4.270894018
MIA	4.087676627
VSNL1	-4.398960665
PRKCQ	-2.615232578
KCNA4	-4.318936576
FAM65B	-2.555436443
BEX5	-3.18542913
TYROBP	2.35468467
PLCB1	-2.506484923
HS3ST4	-3.991042072
HLA-DPB1	2.377983196
SRPX	3.339975339
BAIAP2L2	-2.15849227
SYT13	-4.268956665
ASPDH	-3.497964468
PRPH	3.114539485
MAP6D1	-2.317963776
HFE	2.266681249
BCHE	2.201536035
C1orf54	2.156264493
LRTM2	-4.597067557
RELN	-4.22993728
DIRAS2	-3.055196771
C15orf48	3.708471438
MAL2	-4.721467668
BTBD8	-2.993273239
C1QTNF6	2.364069387
SAA2	5.590623285
SLC2A4	-2.556038022
HSN2	-3.077264139
LGI3	-3.685075616
BCL11A	-3.110366605
CYP26C1	-2.886717437
LOC158696	-4.34185458
DKFZp686O24166	-2.527734687
CNTN4	-3.620940406
DDX12	2.722855036
RNASE2	3.160843249
DGCR5	-2.359433188
MCTP1	-2.827596308
FMOD	3.596453723
C6orf129	2.012753066
TAP1	2.329775178
TRPV4	2.979855939
MYO1G	2.843973283
FLJ42875	-2.743505186
CEBPD	2.145691835
NCF4	2.185271964
PLOD2	2.0407889
CDK4	4.130825731
TLR3	2.070241003
FADS6	-5.131259081
TMEM151A	-3.560527048
FAM19A1	-4.076369852
OGDHL	-3.484024744
ADAM12	2.838329087
IL7	2.716671475
PTPN22	2.927056498
TCEAL5	-2.283893438
RTBDN	-3.72205037
SLAMF7	3.280713117
C1QB	2.410224204
RNASE6	2.261564851
COL8A1	4.035482502
PAK3	-3.865406811
JPH3	-4.136617905
SERPINA5	3.273896725
TIMP1	3.030820255
LOC100128554	-4.076771115
CCDC109B	2.089991341
C1orf204	-2.150688043
PTPRT	-3.897680143
EGFLAM	3.031243871
KCNH1	-3.551457811
SYT15	-2.558275421
GJA3	4.115067274
CD300LF	2.603400122
LCTL	2.806616536
VCAM1	2.808216962
TREML3	5.102340043
PLAC8	3.766309255
C1QC	2.297487799
GSX1	4.578457149
GNASAS	2.952754529
MIR155HG	2.895824319
HAS1	-3.649015448
VAMP5	2.359284573
LDB2	-2.247950297
CRHR2	-4.91300418
SSTR1	-4.533343982
MYC	2.036832169
C5orf27	-2.199140104
JPH4	-3.187753417
SERPINA3	2.981286672
FAM163B	-4.611486654
SH3PXD2A	-2.229348893
EGR4	-4.257651308
PLCH1	-2.708878267
DPYD	2.515333141
LOC285696	-4.034820012
FZD2	2.050277527
SYN3	-3.05017192
LRRC17	2.925135344
LOC100130148	-3.415881649
KLHL38	-2.694473881
MACROD2	-3.185920578
FAM183A	5.350638218
FAM119B	3.332976482
NEFM	-4.757221571
CRHBP	-3.647197691
KCNG3	-4.168392205
CPNE6	-4.522150506
SIAH3	-3.533445002
CKMT1B	-3.963889674
TMEM56	-2.47187274
FBXO27	-2.445784152
C7orf57	4.739611638
ARHGDIG	-3.826250033
CPNE7	-4.02196309
KIF4B	2.459139604
N4BP3	-2.126234948
WASF1	-2.340617749
AGBL4	-2.94737264
SLC17A7	-4.593283669
CABP4	2.466475782
KCNT1	-4.405489885
MAPT	-2.150861823
COL1A2	3.431173386
SEC61G	4.188964715
C1QTNF1	2.943375925
HSPA6	2.756780429
BACE2	2.200898119
SLC6A13	-3.258975123
BTBD16	-3.405244202
CDK5R2	-3.385367294
PDLIM1	2.178535786
GAD1	-3.19006204
FGFR2	-2.129392311
HRH2	-2.931836732
ENPP2	-3.282019933
DYSF	-2.303851664
HRH3	-4.318761731
SLAMF9	4.467441146
C4orf6	5.033921982
MGP	3.269118637
HTR1B	-3.025961325
LGALS1	2.170504101
GBX2	4.120928051
LAPTM5	2.096329027
NSUN7	2.729494016
TMEM88B	-4.486312162
FCGR3A	2.373650427
TMEM63C	-2.598078988
EIF4E1B	-4.867768881
DBH	-2.85112484
TPH2	-4.717338956
C19orf35	2.207297353
STAT4	-3.426403455
EPHA10	-3.822539684
PRAME	5.562858783
SEMA3B	-2.259324665
C10orf35	-2.272959935
NCRNA00202	-3.389472916
PPARGC1B	-2.075128138
IL2RG	2.430278103
LOC283999	-4.241985628
LOC284276	4.097205166
PKD2L1	-3.46355964
BARHL1	5.554056032
CARD6	2.052028478
PIN1L	-2.626948703
ANKRD53	2.825535196
EVC2	2.77886579
C1QA	2.412811755
HECW1	-3.907093061
GNAI1	-2.453638991
CCDC64	-3.217585635
OTOF	-3.626426844
TERT	4.609237181
SLC34A2	3.73828161
LOC100233209	2.458192441
LAIR1	2.22596259
TCERG1L	-4.300889669
FAM109B	2.074759313
MAST1	-2.759539509
SLC5A5	-4.274182666
CLEC18C	3.061453405
MMRN1	2.211527961
SAMD9	2.419241887
CACNG8	-3.882603139
FBP1	2.398950653
ABCA13	4.33480836
TUBBP5	-3.833658046
LHFPL5	-4.471203126
DBC1	-3.425048021
KCNV1	-5.005590993
FAM196B	-3.169314005
GPBAR1	2.322709502
PABPC1L	2.498220388
GPR22	-4.165255757
LOC541471	2.401182239
SERPINA1	2.705029383
EDNRA	2.083616903
PGF	2.588504927
SNX20	2.165490691
CACNG3	-4.784765962
ANLN	-2.057467392
ABCG8	-4.381331612
RPS5	2.047015996
UNC13C	-4.428309416
NRG4	-2.97146408
PLCH2	-3.653944535
BOK	-2.770967661
ADARB2	-3.563249294
PCDH12	2.016282371
HP	4.361085218
AMY2A	-3.847638773
PRSS23	2.207173875
PARM1	-2.930430817
GPR62	-3.401415867
WDR38	4.932022041
GMFG	2.072930426
CYS1	-2.667186094
OPRM1	-5.11565659
FAM123C	-4.099231539
UBE2QL1	-3.162881331
NPAS1	-2.690061964
CHP2	-3.872148314
CENPW	2.066763819
CYTIP	2.27527121
VEGFA	2.911679075
BCL2L10	-3.123826501
NOD2	2.446993655
TM6SF2	2.419082328
LOC200726	-2.820051786
CHRNA2	-4.283368155
SERPINE1	3.39355422
C7orf54	-2.56779052
C17orf82	2.643651743
GJD4	-3.249324606
ADAMTS8	-2.815203106
EPN3	-3.549881097
PAX3	4.70610128
41154	-2.338140083
PLK2	-2.195712702
FGFBP2	3.944970317
NRG3	-3.151079971
TAS1R1	2.407418587
TRIM59	-2.024613101
CKMT1A	-4.042576482
IGSF5	2.375361912
SLITRK5	-2.797202927
GUCY1A3	-2.229832746
KCNQ5	-3.298126404
ANPEP	2.563441783
LY96	2.661187325
GPR150	-3.149571006
LBX2	3.840561521
EDIL3	-3.1809314
TFAP2A	3.735068991
TNNI2	3.010248504
GPIHBP1	-2.784071934
IL2RA	4.5171226
SLC32A1	-4.27313171
GABRB3	-3.731811294
CAMK1G	-3.976163832
TNFSF12-TNFSF13	2.990429363
RUNX1	2.258950464
PXDN	2.555850974
KCNK12	-3.150283415
DRD5	-4.734877031
CERKL	2.520620277
LOC100192379	-4.181747538
UPP1	2.213960246
WNT1	-3.114636416
RHOH	2.394512996
MNX1	5.424592024
TRIM22	2.116646945
LOC389332	-3.710880641
GNG13	-4.278962079
XPNPEP2	2.956130102
KIF12	-5.557391202
DMRTA2	3.586056915
HPSE	2.425490081
HK3	2.929563625
XK	-2.970972253
IL15	2.788611379
FCGR1A	2.278145362
C1orf158	5.0655908
RAC2	2.025715426
GABRA1	-4.569605273
SLC26A9	-3.075478017
ISL2	3.049273834
CA7	-3.823636815
ANKRD2	-3.953191763
LOC400759	3.448641258
PLTP	2.121186448
GBP5	3.073975982
RAB3B	-3.253217352
PTPRN	-3.49691277
CNTN6	-3.405596032
AR	2.772590735
SGK2	-2.862901657
GRM4	-4.236882138
SNORD115-26	-4.919409184
CDH16	-5.46864407
HMOX1	2.391058344
EVPLL	-4.025042432
ACSL6	-2.379045495
GPRIN1	-2.099425108
PLCXD3	-3.669302923
SH3GL2	-3.521542281
HOXB9	4.615268085
C1orf94	2.569882512
OPN4	-4.124028665
CDH15	4.25717617
HOXB5	5.13159283
PART1	-2.255741394
MYO1D	-2.281162411
LRGUK	2.901302702
DACH2	-3.904635946
SOCS2	3.031083307
CELF5	-3.57731675
MSX2P1	-3.357027963
SYT4	-3.952742212
NODAL	3.024388768
GPR158	-2.222075816
SUSD2	2.291060768
LUM	3.165951296
MCOLN2	3.19467718
RHBDL1	-2.115689822
TAGLN3	-3.040963512
CHRNA1	4.408684483
DOCK5	-2.934221563
C1orf59	-2.258661574
RBP1	2.451569721
TFAP2B	5.364499641
MYBPH	4.079212965
BAAT	-2.356468912
KCNA3	-2.981123297
C1orf173	-3.180456475
CAV1	2.735077081
FEZF2	-3.736567051
S100A9	3.229784924
ARHGEF19	2.186985302
ALOX12B	-3.566475932
ST8SIA3	-3.983235466
CYP27B1	3.866375579
VEPH1	4.0541916
MAL	-3.473256317
PABPC1L2B	-4.128083238
LILRB3	2.60764432
CABYR	-2.414588033
SORCS2	-2.372989246
PTGDS	-2.95914243
SLCO1A2	-3.144813319
NCF1C	2.354757849
CYP4A11	-3.624078579
HPN	-3.055464501
SYNPR	-4.200861772
ASPN	2.77095222
APOBEC3G	2.124912248
CNTN5	-3.635376174
CCR9	-2.359416686
CDCP1	2.669662434
RIMS2	-3.992915518
GOLGA7B	-2.831612737
DLEU7	-2.063305299
IFI35	2.038520358
NEK10	-2.703192366
CASZ1	2.188439209
GAD2	-4.151076453
PABPC4L	2.420275215
TNFAIP8	2.039338239
TRIM6	2.290267469
LRFN5	-3.882702535
CRHR1	-3.472635537
OSMR	2.351815311
LAMB4	3.177795582
PAIP2B	-2.675487151
SLC22A10	-4.495225259
RGS1	2.704709059
ANKFN1	2.340300535
CSMD1	-2.733195801
GNRHR	-2.158792301
SPIN2A	-3.764153183
TRIB3	2.252104425
PIP5K1B	-2.472340817
EPHA6	-4.591944638
PAQR6	-2.137623906
KLHL1	-4.940352743
GABRA2	-3.665649225
LYPD1	2.108321104
GSDMD	2.009472929
HLA-C	2.104553352
NKAIN2	-3.476643689
TSPYL5	-2.613693342
KCNS1	-3.443423023
HTR5A	-4.283936525
ZFP92	-2.406161763
BCMO1	2.655916445
GZMA	3.375469314
MSH5	2.143272041
HLA-DQA1	2.842169765
SLC6A5	-4.865128093
CDS1	-2.692644251
RGPD5	-2.384225969
STK32A	2.148952156
LEPREL1	2.010978565
B4GALT6	-2.459516746
NHLRC1	-2.280897734
ACCN1	-3.993455143
AACSL	-3.474869675
40971	-3.285570687
GABRG2	-4.282832476
CXCL11	3.717434326
C11orf42	-2.909649127
HOXD3	3.623829872
LRRC46	2.602529061
LDHD	-2.031834519
PCOLCE	2.988530071
RBM11	-3.373097401
LRRC36	2.618185078
ASB9	2.563176187
RAB38	2.622039132
KIAA1486	-4.266911687
GPR179	-2.96945115
C10orf90	-2.419835565
POM121L9P	3.07692051
CGREF1	-2.173751337
LOC285780	-4.344017227
PAR5	-2.61941346
FAM19A4	-3.391442601
CISH	2.105163171
ADAMTS7	2.704811674
LHPP	-2.035866639
STC2	2.847624226
KIAA1217	-2.134467826
SAMD9L	2.18407086
TMEM150B	4.017842156
COL5A2	2.465210194
IL1RAP	2.433750762
SPHKAP	-3.69979363
HTR3B	-5.215396869
FLT4	2.064569959
HIST1H3H	3.027484551
TMTC1	-2.102245591
WBSCR17	-4.055580328
CLEC2L	-3.843311659
RTP4	2.226778985
LOR	-3.551138655
FGF22	-3.34587135
HBQ1	-3.837458908
KSR2	-3.893492183
MAP1LC3C	2.981186774
BRSK2	-2.596082441
EMP1	2.176056906
DEGS2	-2.390283079
WNK2	-3.447940833
XKR5	3.298328243
P2RY8	2.471931096
C1RL	2.059649758
SLC9A2	-3.479314923
TLX1	4.91958447
EPHA5	-2.671119424
MASP1	2.418043669
SOCS7	-2.155504242
KCNH5	-4.269263003
HLA-DQB2	3.07421918
NEUROD2	-3.934648191
SYT10	-5.307573481
MADCAM1	-2.669128583
BPIL1	5.184848167
CALY	-4.326430033
PNPLA7	-2.183758678
NEFL	-4.127580102
CRYM	-4.012407776
LOC116437	-3.770191342
ERMN	-3.362259782
NHSL2	-2.021101922
CYGB	-2.707058503
LILRB2	2.636581409
EDA2R	2.567900567
RGNEF	-2.223091696
DYNC1I1	-3.221386164
SPATA12	2.898022708
TTC22	-3.403027163
DISP2	-2.212320723
EGR3	-2.621041871
KLHL32	-2.762854004
ALOX15B	3.646602698
CDH22	-3.510839518
LOC100130274	-4.264268979
PCDHGB4	-2.852813656
KCNH6	-2.922195553
CRH	-4.112229347
SLC6A15	-3.74019248
PRG2	3.46177508
LAG3	2.569558517
BHMT	-3.661029501
CNTNAP4	-3.526505764
C6orf118	2.912534664
PLIN2	2.293370018
MFAP4	2.869632951
C20orf103	-2.611976036
SELE	-3.747951161
ANXA2P1	2.093899297
LOC441869	-2.175949783
C6orf15	5.142750146
HMCN1	2.493478524
PLD1	-2.056853478
SMYD1	-3.131438066
HS3ST3A1	3.287190047
TLR8	2.715101916
SPOCK1	-2.736619337
LGALS3	2.704451411
CLCF1	2.653738334
CCDC68	-2.434471557
TPTE2P1	-2.748882747
C17orf60	2.152222883
GATA3	3.69345672
SPDEF	-2.730972866
APOC2	2.365488066
LOC644669	-4.111708077
OXGR1	-2.926681906
FOLR1	3.215824646
NRXN1	-2.470274759
C9orf44	4.145752956
NCRNA00152	2.234646186
NRAP	-3.35618124
HLA-DOA	2.115693753
ADAMTS9	2.153719815
FAM153A	-4.172817918
C5AR1	2.357444568
RCAN2	-2.886367275
SH2D1B	-2.669735828
SERPING1	2.173941873
MS4A8B	-3.363616305
RASL10A	-2.518349214
STMN4	-2.716883555
LILRA6	2.728901935
MMP11	2.629452758
CCK	-3.926559905
EMX2OS	-2.639268829
CES7	-3.259263375
ACBD7	-2.482454415
ACTN2	-2.016555683
SILV	2.898946348
ADRA2C	-2.926426672
MARVELD3	3.287762843
TRPV5	-3.553178784
GRIA2	-2.524903275
OPALIN	-4.520073672
CD72	2.30533327
CD2	2.948212911
STAB1	2.039459059
LOC100130331	-2.021991494
LRP2	-3.499082693
EBF2	4.232824112
FAM153B	-5.134387696
CACNA1A	-2.606164765
DRP2	-2.13414505
GBP3	2.800670921
PCDHA5	-3.26077853
GRIN2C	-2.884480539
GPR39	2.338085536
C19orf51	3.010100976
SYCE1	-4.406166633
KIF5A	-3.209345002
C14orf162	-3.176924426
PXDNL	2.899155073
TMEM233	-3.202408798
HTR1E	-4.433911782
ASB2	-2.642378769
GAS1	2.495796557
UPF0639	-2.728987044
KCNIP2	-2.714965559
CD207	4.027032257
GPR141	3.389516725
TYMP	2.068123101
EMR1	3.05726565
CD70	4.164137271
MCHR2	-5.033942655
PTPN3	-3.22421381
SLC22A8	-5.846302882
FGF13	-3.21824414
ADAMTSL4	2.171292715
LINGO1	-2.368232614
CHRM2	-4.221789047
?	-5.346410996
CHRNA9	3.419961994
NBLA00301	4.709686318
TNFSF8	2.136405315
LOC100133669	-2.603258931
PDE11A	-2.63900222
FAM155A	-2.769503019
SLC45A3	-2.523752225
GRM7	-3.725974883
C8orf86	-2.550819769
ACTA2	2.191995846
KLK10	-3.301958608
GPR149	-3.920731084
PRDM8	-3.049285699
GYPC	2.015020458
CACNA1D	-2.368451771
ETV2	2.14544057
TOP1P2	-4.630249814
VMO1	2.083116808
PDIA2	-3.189829355
HOXB13	4.635455055
ZNF702P	-2.055824167
IGSF10	-2.227816782
C6orf222	-3.463873958
RTL1	-3.44471767
MYPN	-2.825857711
NIPAL4	-2.549411163
RALYL	-3.198687947
GRIP1	-3.5025508
RPL13AP3	-3.099561089
COL28A1	3.483191445
TMEM176B	2.304567545
LOC339674	-2.04688843
SIT1	3.16208645
KCNB2	-4.289493382
TACR3	-3.955643786
LOC731789	-3.417982734
CLEC2B	2.515028083
CCBE1	-4.306143904
LOC121952	-2.337130581
ENTPD3	-3.204819871
FPR2	3.384303499
GPR78	-5.023627971
CHGA	-3.842391312
MXRA8	2.02611264
HTR3A	-3.801893681
PABPC1L2A	-3.901501249
TMEM144	-2.615989979
KCNK3	-2.595354898
ANO4	-3.177910149
KRTAP5-2	-4.023958888
DGKB	-2.49094306
HTR7	-2.086779175
COL6A2	3.220509177
CTHRC1	3.226802046
CDH12	-3.96272336
BEX2	-2.149665249
KCTD4	-3.309486094
ANKRD30B	-4.316685949
