Drugs,LSM_ID,LINK2,Drug_Repurposing_Hub,CLUE,Manual
daunorubicin,LSM-1731,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1731'>LSM-1731</a>,#N/A,#N/A,#N/A
dazmegrel,LSM-45646,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45646'>LSM-45646</a>,#N/A,#N/A,#N/A
dazoxiben,LSM-45588,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45588'>LSM-45588</a>,#N/A,#N/A,#N/A
decitabine,LSM-5855,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5855'>LSM-5855</a>,DNA methyltransferase inhibitor,DNA methyltransferase inhibitor,N/A
defactinib,LSM-45153,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45153'>LSM-45153</a>,#N/A,#N/A,#N/A
deferasirox,LSM-45297,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45297'>LSM-45297</a>,#N/A,#N/A,#N/A
deferiprone,LSM-36972,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-36972'>LSM-36972</a>,#N/A,#N/A,#N/A
deforolimus,LSM-45997,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45997'>LSM-45997</a>,#N/A,#N/A,#N/A
dehydroepiandrosterone,LSM-45807,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45807'>LSM-45807</a>,#N/A,#N/A,#N/A
delanzomib,LSM-45410,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45410'>LSM-45410</a>,#N/A,#N/A,#N/A
delivert,LSM-45287,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45287'>LSM-45287</a>,#N/A,#N/A,#N/A
deoxycholic-acid,LSM-5529,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5529'>LSM-5529</a>,#N/A,#N/A,#N/A
dequalinium,LSM-5846,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5846'>LSM-5846</a>,#N/A,#N/A,#N/A
desmopressin-acetate,LSM-46024,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-46024'>LSM-46024</a>,#N/A,#N/A,#N/A
desoxypeganine,LSM-2290,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-2290'>LSM-2290</a>,#N/A,#N/A,#N/A
desvenlafaxine,LSM-45451,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45451'>LSM-45451</a>,#N/A,#N/A,#N/A
dexamethasone,LSM-4466,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-4466'>LSM-4466</a>,#N/A,#N/A,#N/A
dexamethasone,LSM-4412,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-4412'>LSM-4412</a>,#N/A,#N/A,#N/A
dexamethasone-acetate,LSM-1915,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1915'>LSM-1915</a>,#N/A,#N/A,#N/A
dexfenfluramine,LSM-5685,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5685'>LSM-5685</a>,#N/A,#N/A,#N/A
dexloxiglumide,LSM-45970,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45970'>LSM-45970</a>,#N/A,#N/A,#N/A
dexniguldipine,LSM-15285,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-15285'>LSM-15285</a>,#N/A,#N/A,#N/A
dextromethorphan,LSM-2726,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-2726'>LSM-2726</a>,#N/A,#N/A,#N/A
diacerein,LSM-5766,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5766'>LSM-5766</a>,#N/A,#N/A,#N/A
diazepam,LSM-2359,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-2359'>LSM-2359</a>,#N/A,#N/A,#N/A
diazoxide,LSM-3639,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-3639'>LSM-3639</a>,#N/A,#N/A,#N/A
diclofenac,LSM-2160,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-2160'>LSM-2160</a>,#N/A,#N/A,#N/A
diclofensine,LSM-45632,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45632'>LSM-45632</a>,#N/A,#N/A,#N/A
dicloxacillin,LSM-5234,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5234'>LSM-5234</a>,#N/A,#N/A,#N/A
dicoumarol,LSM-45761,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45761'>LSM-45761</a>,#N/A,#N/A,#N/A
dideoxyadenosine,LSM-45902,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45902'>LSM-45902</a>,#N/A,#N/A,#N/A
dienogest,LSM-45823,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45823'>LSM-45823</a>,#N/A,#N/A,#N/A
diethylcarbamazine,LSM-3009,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-3009'>LSM-3009</a>,#N/A,#N/A,#N/A
diethylstilbestrol,LSM-42960,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-42960'>LSM-42960</a>,#N/A,#N/A,#N/A
diflunisal,LSM-2490,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-2490'>LSM-2490</a>,#N/A,#N/A,#N/A
digoxin,LSM-1930,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1930'>LSM-1930</a>,#N/A,#N/A,#N/A
dihydroergocristine,LSM-4200,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-4200'>LSM-4200</a>,#N/A,#N/A,#N/A
dihydroergotamine,LSM-3619,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-3619'>LSM-3619</a>,#N/A,#N/A,#N/A
dilazep,LSM-3068,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-3068'>LSM-3068</a>,#N/A,#N/A,#N/A
diltiazem,LSM-1744,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1744'>LSM-1744</a>,#N/A,#N/A,#N/A
dimesna,LSM-45769,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45769'>LSM-45769</a>,#N/A,#N/A,#N/A
dimethyl-fumarate,LSM-45569,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45569'>LSM-45569</a>,#N/A,#N/A,#N/A
diminazene-aceturate,LSM-45976,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45976'>LSM-45976</a>,#N/A,#N/A,#N/A
dinaciclib,LSM-6306,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-6306'>LSM-6306</a>,CDK inhibitor,N/A,N/A
dinoprost,LSM-45599,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45599'>LSM-45599</a>,#N/A,#N/A,#N/A
diosmin,LSM-5989,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5989'>LSM-5989</a>,#N/A,#N/A,#N/A
diphenidol,LSM-2008,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-2008'>LSM-2008</a>,#N/A,#N/A,#N/A
diphenylpyraline,LSM-5385,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5385'>LSM-5385</a>,#N/A,#N/A,#N/A
dipraglurant,LSM-45908,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45908'>LSM-45908</a>,#N/A,#N/A,#N/A
dipyridamole,LSM-3927,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-3927'>LSM-3927</a>,#N/A,#N/A,#N/A
disopyramide,LSM-1439,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1439'>LSM-1439</a>,#N/A,#N/A,#N/A
disulfiram,LSM-5467,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5467'>LSM-5467</a>,#N/A,#N/A,#N/A
DMP-543,LSM-3999,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-3999'>LSM-3999</a>,#N/A,#N/A,#N/A
DMP-777,LSM-45678,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45678'>LSM-45678</a>,#N/A,#N/A,#N/A
DMSO,#N/A,#N/A,N/A,N/A,N/A
docetaxel,LSM-45649,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45649'>LSM-45649</a>,#N/A,#N/A,#N/A
dofequidar,LSM-45877,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45877'>LSM-45877</a>,#N/A,#N/A,#N/A
dolasetron,LSM-45241,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45241'>LSM-45241</a>,#N/A,#N/A,#N/A
dolastatin-10,LSM-45943,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45943'>LSM-45943</a>,#N/A,#N/A,#N/A
dolutegravir,LSM-45596,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45596'>LSM-45596</a>,#N/A,#N/A,#N/A
donepezil,LSM-1598,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1598'>LSM-1598</a>,#N/A,#N/A,#N/A
donitriptan,LSM-45430,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45430'>LSM-45430</a>,#N/A,#N/A,#N/A
dopamine,LSM-4630,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-4630'>LSM-4630</a>,#N/A,#N/A,#N/A
doramapimod,LSM-1170,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1170'>LSM-1170</a>,p38 MAPK inhibitor,N/A,N/A
dorzolamide,LSM-45672,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45672'>LSM-45672</a>,#N/A,#N/A,#N/A
dosulepin,LSM-42985,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-42985'>LSM-42985</a>,#N/A,#N/A,#N/A
dovitinib,LSM-1127,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1127'>LSM-1127</a>,"EGFR inhibitor, FGFR inhibitor, FLT3 inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",EGFR inhibitor,N/A
doxapram,LSM-5058,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5058'>LSM-5058</a>,#N/A,#N/A,#N/A
doxazosin,LSM-4335,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-4335'>LSM-4335</a>,#N/A,#N/A,#N/A
doxepin,LSM-42948,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-42948'>LSM-42948</a>,#N/A,#N/A,#N/A
doxifluridine,LSM-45881,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45881'>LSM-45881</a>,#N/A,#N/A,#N/A
doxofylline,LSM-5779,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5779'>LSM-5779</a>,#N/A,#N/A,#N/A
doxorubicin,LSM-4062,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-4062'>LSM-4062</a>,#N/A,#N/A,#N/A
doxycycline,LSM-4323,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-4323'>LSM-4323</a>,#N/A,#N/A,#N/A
DPCPX,LSM-19971,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-19971'>LSM-19971</a>,#N/A,#N/A,#N/A
DPI-201106,LSM-21614,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-21614'>LSM-21614</a>,#N/A,#N/A,#N/A
dronedarone,LSM-45428,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45428'>LSM-45428</a>,#N/A,#N/A,#N/A
droperidol,LSM-4193,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-4193'>LSM-4193</a>,#N/A,#N/A,#N/A
drospirenone,LSM-45614,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45614'>LSM-45614</a>,#N/A,#N/A,#N/A
DU-728,LSM-45270,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45270'>LSM-45270</a>,#N/A,#N/A,#N/A
duloxetine,LSM-3591,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-3591'>LSM-3591</a>,#N/A,#N/A,#N/A
dutasteride,LSM-45861,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45861'>LSM-45861</a>,#N/A,#N/A,#N/A
E-2012,LSM-45770,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45770'>LSM-45770</a>,#N/A,#N/A,#N/A
ebselen,LSM-2644,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-2644'>LSM-2644</a>,#N/A,#N/A,#N/A
ecabet,LSM-45939,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45939'>LSM-45939</a>,#N/A,#N/A,#N/A
econazole,LSM-1617,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1617'>LSM-1617</a>,#N/A,#N/A,#N/A
edoxaban,LSM-45848,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45848'>LSM-45848</a>,#N/A,#N/A,#N/A
edoxudine,LSM-45811,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45811'>LSM-45811</a>,#N/A,#N/A,#N/A
efaproxiral,LSM-45515,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45515'>LSM-45515</a>,#N/A,#N/A,#N/A
efatutazone,LSM-45726,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45726'>LSM-45726</a>,#N/A,#N/A,#N/A
efavirenz,LSM-5526,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5526'>LSM-5526</a>,#N/A,#N/A,#N/A
eflornithine,LSM-45424,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45424'>LSM-45424</a>,#N/A,#N/A,#N/A
elacridar,LSM-45579,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45579'>LSM-45579</a>,#N/A,#N/A,#N/A
elesclomol,LSM-4929,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-4929'>LSM-4929</a>,#N/A,#N/A,#N/A
ellagic-acid,LSM-36455,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-36455'>LSM-36455</a>,#N/A,#N/A,#N/A
elvitegravir,LSM-5647,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5647'>LSM-5647</a>,#N/A,#N/A,#N/A
EMD-1214063,LSM-45557,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45557'>LSM-45557</a>,#N/A,#N/A,#N/A
EMD-53998,LSM-45380,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45380'>LSM-45380</a>,#N/A,#N/A,#N/A
emedastine,LSM-5331,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5331'>LSM-5331</a>,#N/A,#N/A,#N/A
empagliflozin,LSM-45879,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45879'>LSM-45879</a>,#N/A,#N/A,#N/A
emtricitabine,LSM-45730,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45730'>LSM-45730</a>,#N/A,#N/A,#N/A
enalapril,LSM-3282,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-3282'>LSM-3282</a>,#N/A,#N/A,#N/A
ENMD-2076,LSM-45335,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45335'>LSM-45335</a>,#N/A,#N/A,#N/A
enoxacin,LSM-5848,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5848'>LSM-5848</a>,#N/A,#N/A,#N/A
enoxolone,LSM-45606,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45606'>LSM-45606</a>,#N/A,#N/A,#N/A
enprofylline,LSM-45973,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45973'>LSM-45973</a>,#N/A,#N/A,#N/A
entecavir,LSM-5258,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5258'>LSM-5258</a>,#N/A,#N/A,#N/A
entinostat,LSM-4811,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-4811'>LSM-4811</a>,HDAC inhibitor,HDAC inhibitor,N/A
enzalutamide,LSM-6254,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-6254'>LSM-6254</a>,#N/A,#N/A,#N/A
enzastaurin,LSM-1069,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1069'>LSM-1069</a>,PKC inhibitor,PKC inhibitor,N/A
eperezolid,LSM-45703,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45703'>LSM-45703</a>,#N/A,#N/A,#N/A
epigallocatechin-gallate-(-),LSM-5661,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5661'>LSM-5661</a>,#N/A,#N/A,#N/A
epinastine,LSM-45639,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45639'>LSM-45639</a>,#N/A,#N/A,#N/A
epinephrine,LSM-45900,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45900'>LSM-45900</a>,#N/A,#N/A,#N/A
epirizole,LSM-2868,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-2868'>LSM-2868</a>,#N/A,#N/A,#N/A
epirubicin,LSM-45684,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45684'>LSM-45684</a>,#N/A,#N/A,#N/A
epitiostanol,LSM-45392,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45392'>LSM-45392</a>,#N/A,#N/A,#N/A
eplerenone,LSM-42771,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-42771'>LSM-42771</a>,#N/A,#N/A,#N/A
epothilone-b,LSM-46001,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-46001'>LSM-46001</a>,#N/A,#N/A,#N/A
eptifibatide,LSM-45250,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45250'>LSM-45250</a>,#N/A,#N/A,#N/A
EPZ-005687,LSM-36366,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-36366'>LSM-36366</a>,#N/A,#N/A,#N/A
equol,LSM-45825,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45825'>LSM-45825</a>,#N/A,#N/A,#N/A
ercalcitriol,LSM-45788,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45788'>LSM-45788</a>,#N/A,#N/A,#N/A
erlotinib,LSM-1097,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1097'>LSM-1097</a>,EGFR inhibitor,EGFR inhibitor,N/A
erteberel,LSM-45465,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45465'>LSM-45465</a>,#N/A,#N/A,#N/A
erythromycin,LSM-3416,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-3416'>LSM-3416</a>,#N/A,#N/A,#N/A
erythromycin-ethylsuccinate,LSM-3144,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-3144'>LSM-3144</a>,#N/A,#N/A,#N/A
escitalopram,LSM-3569,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-3569'>LSM-3569</a>,#N/A,#N/A,#N/A
esculin,LSM-45981,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45981'>LSM-45981</a>,#N/A,#N/A,#N/A
esmolol,LSM-4957,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-4957'>LSM-4957</a>,#N/A,#N/A,#N/A
omeprazole,LSM-1651,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1651'>LSM-1651</a>,#N/A,#N/A,#N/A
estradiol,LSM-1367,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1367'>LSM-1367</a>,#N/A,#N/A,#N/A
estramustine,LSM-45460,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45460'>LSM-45460</a>,#N/A,#N/A,#N/A
estramustine-phosphate,LSM-45379,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45379'>LSM-45379</a>,#N/A,#N/A,#N/A
estriol,LSM-1365,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1365'>LSM-1365</a>,#N/A,#N/A,#N/A
estrone,LSM-1506,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1506'>LSM-1506</a>,#N/A,#N/A,#N/A
etacrynic-acid,LSM-3420,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-3420'>LSM-3420</a>,#N/A,#N/A,#N/A
etanidazole,LSM-4774,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-4774'>LSM-4774</a>,#N/A,#N/A,#N/A
etazolate,LSM-3446,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-3446'>LSM-3446</a>,#N/A,#N/A,#N/A
ethinyl-estradiol,LSM-1251,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1251'>LSM-1251</a>,#N/A,#N/A,#N/A
ethylenediaminetetraacetic-acid,LSM-45734,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45734'>LSM-45734</a>,#N/A,#N/A,#N/A
etizolam,LSM-45652,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45652'>LSM-45652</a>,#N/A,#N/A,#N/A
etodolac,LSM-1781,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1781'>LSM-1781</a>,#N/A,#N/A,#N/A
etofenamate,LSM-5813,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5813'>LSM-5813</a>,#N/A,#N/A,#N/A
etofylline-clofibrate,LSM-45750,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45750'>LSM-45750</a>,#N/A,#N/A,#N/A
etomidate,LSM-1640,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1640'>LSM-1640</a>,#N/A,#N/A,#N/A
etomoxir,LSM-6240,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-6240'>LSM-6240</a>,#N/A,#N/A,#N/A
etoposide,LSM-6348,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-6348'>LSM-6348</a>,#N/A,#N/A,#N/A
etoposide,LSM-45872,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45872'>LSM-45872</a>,#N/A,#N/A,#N/A
etoricoxib,LSM-5650,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5650'>LSM-5650</a>,#N/A,#N/A,#N/A
etravirine,LSM-45824,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45824'>LSM-45824</a>,#N/A,#N/A,#N/A
eugenol,LSM-2720,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-2720'>LSM-2720</a>,#N/A,#N/A,#N/A
everolimus,LSM-43054,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-43054'>LSM-43054</a>,mTOR inhibitor,N/A,N/A
everolimus,LSM-43172,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-43172'>LSM-43172</a>,mTOR inhibitor,N/A,N/A
everolimus,LSM-43172,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-43172'>LSM-43172</a>,mTOR inhibitor,N/A,N/A
EVP-6124,LSM-45538,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45538'>LSM-45538</a>,#N/A,#N/A,#N/A
EX-527,LSM-6271,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-6271'>LSM-6271</a>,SIRT inhibitor,N/A,N/A
EX-527,LSM-36370,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-36370'>LSM-36370</a>,SIRT inhibitor,N/A,N/A
exalamide,LSM-45860,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45860'>LSM-45860</a>,#N/A,#N/A,#N/A
exemestane,LSM-1773,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1773'>LSM-1773</a>,#N/A,#N/A,#N/A
exherin,LSM-45648,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45648'>LSM-45648</a>,#N/A,#N/A,#N/A
exifone,LSM-37157,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-37157'>LSM-37157</a>,#N/A,#N/A,#N/A
fadrozole,LSM-5015,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5015'>LSM-5015</a>,#N/A,#N/A,#N/A
famciclovir,LSM-2990,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-2990'>LSM-2990</a>,#N/A,#N/A,#N/A
famotidine,LSM-5201,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5201'>LSM-5201</a>,#N/A,#N/A,#N/A
faropenem,LSM-45735,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45735'>LSM-45735</a>,#N/A,#N/A,#N/A
fasudil,LSM-3715,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-3715'>LSM-3715</a>,#N/A,#N/A,#N/A
favipiravir,LSM-45283,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45283'>LSM-45283</a>,#N/A,#N/A,#N/A
fdcyd,LSM-45957,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45957'>LSM-45957</a>,#N/A,#N/A,#N/A
febuxostat,LSM-3064,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-3064'>LSM-3064</a>,#N/A,#N/A,#N/A
felbamate,LSM-4232,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-4232'>LSM-4232</a>,#N/A,#N/A,#N/A
felbinac,LSM-5965,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5965'>LSM-5965</a>,#N/A,#N/A,#N/A
felodipine,LSM-1447,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1447'>LSM-1447</a>,#N/A,#N/A,#N/A
fenobam,LSM-2917,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-2917'>LSM-2917</a>,#N/A,#N/A,#N/A
fenoldopam,LSM-1609,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1609'>LSM-1609</a>,#N/A,#N/A,#N/A
fenoterol,LSM-1948,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1948'>LSM-1948</a>,#N/A,#N/A,#N/A
